Molecule,SMILES,EC 50 g/L
000057-55-6,C([C@H](C)O)O,0.71
000064-17-5,OCC,0.1
000066-25-1,O=CCCCCC,0.014
000071-41-0,CCCCCO,0.472
000078-59-1,O=C1C=C(C)CC(C)(C)C1,0.145
000078-83-1,CC(C)CO,1.43
000078-93-3,CCC(=O)C,3.22
000079-06-1,C=CC(=O)N,0.109
000079-20-9,COC(=O)C,0.32
000079-46-9,CC(C)N(O)O,0.21
000079-77-6,CC1(C)CCCC(=C1/C=C/C(=O)C)C,0.00509
000084-62-8,c1ccc(cc1)OC(=O)c1ccccc1C(=O)Oc1ccccc1,0.00008
000084-66-2,c1(ccccc1C(=O)OCC)C(=O)OCC,0.0168
000084-69-5,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,0.0009
000084-74-2,CCCCOC(=O)c1ccccc1C(=O)OCCCC,0.00085
000085-68-7,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,0.00078
000090-02-8,O=Cc1ccccc1O,0.0023
000094-09-7,c1cc(ccc1C(=O)OCC)N,0.0259
000096-17-3,CC[C@@H](C)C=O,0.00997
000100-41-4,c1ccc(cc1)CC,0.00909
000100-42-5,c1cc(ccc1)C=C,0.00402
000100-52-7,O=Cc1ccccc1,0.00761
000101-20-2,c1(c(ccc(c1)NC(=O)Nc1ccc(cc1)Cl)Cl)Cl,0.000092
000101-84-8,O(c1ccccc1)c1ccccc1,0.004
000105-67-9,c1(cc(ccc1O)C)C,0.0154
000106-24-1,CC(=CCC/C(=C/CO)/C)C,0.0032
000107-41-5,CC(C)(C[C@@H](C)O)O,10.7
000108-10-1,O=C(C)CC(C)C,0.505
000108-39-4,c1ccc(cc1O)C,0.0559
000108-46-3,c1(cc(ccc1)O)O,0.04
000108-93-0,OC1CCCCC1,0.704
000108-94-1,O=C1CCCCC1,0.527
000110-62-3,C(CCC=O)C,0.0124
000110-93-0,O=C(C)CCC=C(C)C,0.0857
000111-27-3,CCCCCCO,0.0977
000111-46-6,C(COCCO)O,75.2
000111-70-6,CCCCCCCO,0.0345
000111-87-5,CCCCCCCCO,0.0122
000111-90-0,CCOCCOCCO,9.65
000112-05-0,O=C(O)CCCCCCCC,0.104
000112-27-6,OCCOCCOCCO,59.9
000112-30-1,C(CCCCCCC)CCO,0.0024
000112-42-5,CCCCCCCCCCCO,0.00104
000112-53-8,CCCCCCCCCCCCCCO,0.00101
000117-81-7,CCCC[C@H](CC)COC(=O)c1ccccc1C(=O)OC[C@@H](CC)CCCC,0.00016
000118-61-6,c1(c(cccc1)O)C(=O)OCC,0.0196
000119-34-6,c1c(cc(c(c1)O)N(O)O)N,0.0332
000119-61-9,c1ccccc1C(=O)c1ccccc1,0.01089
000121-32-4,c1(ccc(cc1OCC)C=O)O,0.0876
000121-33-5,c1(ccc(cc1OC)C=O)O,0.057
000122-03-2,O=Cc1ccc(cc1)C(C)C,0.00662
000131-11-3,COC(=O)c1ccccc1C(=O)OC,0.039
000138-86-3,C1CC(=CC[C@H]1C(=C)C)C,0.0385
000140-88-5,C(=C)C(=O)OCC,0.0025
000141-78-6,O=C(OCC)C,0.23
000143-08-8,CCCCCCCCCO,0.00552
000470-82-6,[C@]12(OC([C@@H](CC1)CC2)(C)C)C,0.102
000563-80-4,C(C)(C(=O)C)C,0.864
000576-26-1,Cc1cccc(C)c1O,0.027
000586-62-9,C1=C(C)CCC(=C(C)C)C1,0.00121
000590-86-3,CC(CC=O)C,0.00325
000868-77-9,CC(=C)C(=O)OCCO,0.227
000928-96-1,OCC/C=C/CC,0.381
002216-51-5,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,0.0189
002416-94-6,Oc1c(ccc(c1C)C)C,0.0082
003380-34-5,c1(cc(ccc1Oc1ccc(cc1Cl)Cl)Cl)O,0.00025
005989-27-5,C1(=CC[C@@H](CC1)C(=C)C)C,0.000702
