Molecule,Target
10005,0
10008,0
10009,1
10021362,1
10024,0
10026,0
10041070,1
10044526,0
1004,0
100524,1
10068207,0
10090,1
101010,0
101012,1
10107,1
101082,0
10113978,0
10114,0
101150,0
10127622,1
10129,0
10131132,0
10132209,0
10133071,0
10133,1
10140,0
10145345,0
101526,0
10154203,0
101560,1
10158453,1
10159191,0
10160166,1
10168,0
10176127,0
1017,1
10187,1
1018,0
101925,0
101940,0
10194,0
10197650,0
10197675,0
10201497,1
10206,0
10207,0
10208,0
10209,1
10212,1
10215,0
10219,0
102232,1
10226,1
102293,0
10229,1
10230,0
10234,1
10236,1
10241,1
102484,0
10252,0
10255083,1
10255,0
10257,0
102678,1
102681,0
10269,1
102710,1
102724,1
10275,0
102821,0
10285,0
102861,1
10287749,0
10288,1
103005,1
10303,1
10308,1
1030,0
10313079,0
10315,0
10316,1
10326,0
10329304,0
10330781,0
10332,1
10342051,1
10345790,1
10346,1
10353,0
10364,1
10367,1
10377,1
10382,1
10391,0
10401,0
10402,1
10403199,1
10406,0
10409,0
104143,1
104150,1
10423,0
10430,1
10432339,0
10434,0
10438,1
10439,1
10442,0
10452,0
10453,0
10458,1
104607,0
104609,1
104610,1
10465,0
1046,0
10470544,0
10473,0
104741,1
10474,1
104762,0
104769,0
10476,0
104827,1
10483134,1
104838,0
104845,0
104850,0
104856,0
104865,0
10486,0
104920,1
104926,1
1049,0
105010,1
10509,0
1050,0
105104,0
10522,1
10531,1
10541,1
10541,0
1054,0
10555,0
10560335,0
10560,0
10567,0
10568,1
1057,1
10601,0
10607,1
1060,0
10616,1
10624,0
10631,1
10634,0
10635,1
10636633,0
10638,0
10648,0
10660,1
10664,0
1066,0
106701,0
106705,0
10680,1
10685477,1
10686,0
10687,1
10687,0
10690,1
10693,0
10695,0
10698,1
10707,1
107080,1
10708,0
107202,0
107217,0
10721,0
10722,0
10723,0
10724,0
107282,0
107377,1
10754,1
10757,1
10758,0
10762,0
107641,1
107646,0
10771,1
107720,1
107807,0
10780,1
10783,0
107867,0
107882,1
10788,1
10789,0
107921,0
107926,0
107930,0
10793,0
10795,0
10797,0
107999,1
107,0
108005,0
10800,1
10800,0
108092,1
1080,0
10811,0
108143,0
108173,0
108242,0
10824,1
10830,1
108312,1
