Molecule,Target
10005,0
10008,0
10009,0
10024,0
10026,0
10044526,1
1004,0
100524,1
10068207,0
10090,1
101010,0
10107,1
101082,0
10113978,0
10114,0
101150,0
10126299,0
10127622,0
10129,1
10129,0
10131132,0
10132209,0
10133071,0
10133,1
10134976,0
10140,0
10145345,0
101526,0
10154203,1
101560,0
10158453,1
10159191,0
10168,0
10176127,0
10187,0
1018,0
101905,0
101925,1
101940,1
101940,0
10194,0
10197650,0
10201497,0
10206,1
10207,0
10208,0
10209,1
10212,1
10215,0
102232,0
10226,0
102293,0
10229,1
10233356,0
10234,0
10236,1
10239,0
10241,0
102426,1
102428,1
10250129,1
10252,0
10255083,1
10255,0
10257,1
102678,1
102681,0
10269,0
102710,1
102724,0
10275,0
102821,0
102861,0
10287749,1
10288,0
103005,0
10303,1
10308,0
1030,1
1030,0
10313079,0
10313,1
10315,1
10326,0
10329304,0
1032,0
10330781,0
10332,1
10342051,0
10357917,1
10364,0
10367,0
10377,1
10382,0
10387,0
10391,0
10402,0
10406,1
10407399,0
10409,0
10411334,1
104150,0
10423,0
10430,1
10432339,0
10434,0
104386,0
10438,0
10439,1
10442,0
10455790,0
10457,1
10458,1
104607,1
104610,0
104635,0
10465,0
1046,1
1046,0
10470544,0
104741,0
10474,1
10476,0
104827,1
10483134,1
104838,0
104850,0
104856,0
10486,0
104920,1
104926,1
1049,0
105010,1
1050,0
105104,1
10531,1
10541,0
1054,0
10555,1
10555,0
10560335,1
10560,0
10567,0
10568,0
10601,0
10607,0
1060,0
10616,1
10624,0
10631,1
10634,0
10635,1
10635,0
10636633,0
10638,1
106428,0
10648,1
10660,1
10664,0
1066,0
106701,0
106705,0
10680,0
10686,0
10687,0
10690,0
10695,0
10698,0
10704,1
10707,1
107080,0
10708,0
10718,1
107217,0
10721,0
10722,0
10723,0
107282,0
107377,1
10757,1
10758,1
10762,1
107641,1
107646,0
10766,1
10771,1
107807,0
10780,0
10783,0
107867,0
107882,1
10788,0
10789,0
107921,0
107926,0
107930,1
10793,0
10795,0
10797,1
107999,1
107,0
108005,0
10800,1
108092,1
1080,0
108143,0
108173,0
108242,0
10824,1
10830,1
108312,0
108381,1
10839,1
10843,0
10850,0
10855,0
10857465,0
10866,1
10868,1
10870,0
10883,0
