Molecule,Target
0624,0
10005,0
10008,0
10009,0
10021362,0
10024,0
10026,0
1004,0
10041070,1
10044526,0
100524,1
10068207,1
10090,1
101010,0
101012,0
10107,0
101082,0
10113978,1
10114,0
101150,0
10126299,0
10127622,1
10129,0
10129,1
10131132,0
10132209,0
10133,0
10133071,0
10134976,0
10140,0
10145345,1
101526,0
10154203,0
101560,0
10158453,1
10159191,0
10160166,0
10168,0
1017,0
10176127,0
1018,0
10187,0
101905,0
101925,0
10194,0
101940,0
10197650,0
10197675,0
10201497,1
10206,1
10207,0
10208,0
10209,1
10212,1
10215,0
10219,0
102232,0
10226,0
10229,1
102293,0
10230,1
10233356,1
10234,0
10236,0
10239,0
10241,0
102426,0
102428,0
102484,0
10251042,0
10252,0
10254,0
10255,0
10255083,0
10255083,1
10257,0
102678,1
102681,0
10269,1
102710,1
102724,1
10275,1
102821,0
10285,0
102861,0
10288,1
1030,0
1030,1
10303,0
10308,0
10308,1
1031,0
10313,0
10313079,0
10315,0
10316,0
1032,0
10326,0
10329304,0
10330781,0
10332,1
10342051,0
10345790,0
10346,1
10353,0
10357917,1
10367,0
10377,1
10382,1
10387,0
10391,0
10401,0
10402,0
10403199,1
10404,0
10406,0
10407399,1
10409,1
104143,1
104150,0
10423,0
10430,0
10434,0
10438,0
104386,0
10439,0
10442,0
10452,0
10453,0
104556,0
10455790,0
10457,0
10458,0
1046,0
104607,0
104609,0
104610,0
104635,0
10465,0
10470544,0
10473,0
10474,1
104741,1
10476,0
104762,0
104769,0
104827,1
10483134,0
104838,0
104850,0
10486,0
104865,0
1049,0
104920,0
104926,0
1050,0
105010,1
10509,0
105104,1
10522,0
10531,1
1054,0
10541,0
10541,1
10555,0
10560,0
10560335,0
10567,0
10568,0
1057,0
1060,0
10601,0
10607,1
10616,1
10624,0
10631,0
10634,0
10635,1
10636633,0
10638,0
106428,0
10648,0
1066,0
10660,0
10664,0
106701,0
106705,0
106729,0
10680,0
10685477,1
10686,0
10687,0
10690,0
10695,0
10698,0
107,0
10704,0
10707,0
10708,0
107080,0
107202,0
10721,0
107217,0
10722,0
10723,0
10724,0
107282,0
107377,1
10754,1
10757,0
10758,0
10762,0
107641,0
107646,0
10766,0
10771,1
107720,1
10780,0
107807,0
10783,0
107867,1
10788,0
107882,0
10789,0
107921,0
10793,0
107930,0
10795,0
10797,0
107999,1
1080,0
10800,0
108005,0
108092,0
10811,0
108173,0
10824,1
108242,0
10830,1
108312,0
10832,0
108381,1
10839,0
10843,0
10850,0
10855,1
10857465,0
10866,0
10866,1
10867,0
108675,0
10868,0
10870,0
10883,0
10886,0
10887985,0
10890,0
108938,1
10894,0
108956,1
10898,0
10900,0
109029,0
10907,1
10908,0
109094,0
1091,0
10913,0
10914,0
10921,0
10928,0
10931,0
10935,0
10937610,1
10941,1
10943,0
10944,0
10949,0
10953,0
10958,0
10958189,1
10963,0
10967,0
10969,0
10976,0
10982,0
10989,0
10996,0
11,0
11002,0
11005,0
11006,0
11007,0
11009532,0
11011,0
11033,0
11040,0
11043,0
11048,0
11057,1
110635,1
11065,0
11074,0
11074431,0
110747,0
11075478,0
11076461,0
11080,1
11086,0
110862,0
11087,0
11088,0
11089,0
11093,0
11097730,0
1110,0
11101,0
111032,0
111037,0
111037,1
11104,0
11107,0
11112,1
11124,0
11127402,1
11137,0
11138,0
11150163,0
11159021,1
11159638,0
11164,0
11167,0
11169,0
11171745,0
11171853,0
11173,0
1118,0
11180,0
11181836,1
11192,0
11193251,1
112039,0
11210,0
11212667,0
11219835,1
11224,0
112264,0
11229,0
1123,0
11230,0
112322,0
11236,0
11241,0
112412,0
11243457,0
11243969,0
11245,0
11247,0
11251,0
11254899,0
11258643,0
11262,0
1127,0
11271,0
11273,1
11284883,0
11285653,0
11288,0
11289,0
11292,1
11294,1
11296583,1
113027,0
11302979,0
113033,0
11304,0
113124,1
11313,1
11317,0
11321106,0
11328,0
1133,0
11333,0
11334,0
11335,0
11344909,0
11345,1
11346,0
1135,0
11350,0
11355992,0
11356,0
1136,0
113606,0
113646,0
11366,1
11368,0
11369,0
11375816,1
11387,0
11391,0
1140,0
11402127,0
114129,1
11424151,0
11424880,0
11429,0
11432,0
11437710,0
11439,0
11442,1
11443,0
11443,1
11448496,0
11450,0
11459786,0
1146,0
11460221,0
11461044,0
11463,1
114644,1
11474,0
11477651,1
114809,0
114811,0
11485,0
11487,0
11487,1
11488,0
11492381,0
11492406,0
11499,0
11499271,0
114994,1
11505,0
11507,0
115089,1
11509,0
115157,1
115224,0
115227,0
11529,0
11534,0
115366,0
11545,0
11548,0
11556711,1
11559,0
11560,0
11565,0
11569,0
11571,0
11579,0
11584,0
11595,0
11597,0
11598,0
11604,0
11622,0
11626384,0
11636816,0
11647992,0
11650,0
116529,0
11658860,0
11659,0
11660,0
11666,0
11671,0
11673,0
11674,0
11674455,0
11683,0
11684,0
11689,0
11693,0
11696,0
11700495,0
11701,0
11705034,0
11722,0
11729,0
117291,0
117295,0
11733,0
11734,0
1174,0
11741,1
11742,0
11746,0
11748,0
11750,0
11750474,0
117549,0
1176,0
11761,0
117640,0
11769095,0
117734,1
11774,1
117746,0
11776,0
117822,0
117915,0
11799,0
11803,1
118031,0
11807,0
11808,0
11813,0
11818,0
118193,0
118264,1
11826859,1
118285,0
1183,0
11830,0
11831,0
118327,0
11832800,0
118379,1
11843,1
11850,0
11852,0
11855,0
118574,0
11858,0
11859,1
11860,1
11862,0
11867,0
11868,0
118703,1
11872,0
11875,0
11876,0
118771,0
11883,0
11888,0
11895,0
11899,0
11903,0
11906,0
11907,0
11909,1
11910,0
11914,0
119175,1
119182,0
11919,0
119193,1
11921,0
11927,0
11933,1
119361,1
119369,1
11937,1
119435,0
119442,1
11945,0
119525,0
11953895,0
11954,0
11954316,0
11955,1
11956149,1
11957,0
119570,0
11957593,0
11957635,0
11957707,1
11957725,1
119583,1
119607,0
11966,0
11969480,1
11969781,1
119716,0
11972,0
11982778,1
11987,0
11990,1
119921,0
11995188,0
12001,0
12002,0
120070,0
12008,0
120081,0
120101,0
1201518,0
12017,0
12018,0
120203,0
12021,0
12025,0
12025,1
12035,0
12036651,0
12038941,0
12040508,0
12046,0
12051,0
12053,0
12056759,0
12056760,0
12059,0
12059921,0
12059922,0
12062,0
12069,0
12076,0
12077313,0
12078,0
12083,0
12087,0
12088,0
12089,0
12091,0
12095229,0
12100,0
12101,0
