Kin-Method,AVG-PR,ROC-AUC,Acc,Emission(kW)
RDKitDescriptorsResults/AAK1_Nearest Neighbors,0.096671,0.547348,0.906542,1.403927e-08
RDKitDescriptorsResults/AAK1_Linear SVM,0.074766,0.500000,0.925234,3.703681e-09
RDKitDescriptorsResults/AAK1_RBF SVM,0.074766,0.500000,0.925234,1.314187e-08
RDKitDescriptorsResults/AAK1_Gaussian Process,0.074766,0.500000,0.925234,2.432107e-06
RDKitDescriptorsResults/AAK1_Decision Tree,0.082593,0.521149,0.911215,9.770594e-09
RDKitDescriptorsResults/AAK1_Random Forest,0.074766,0.500000,0.925234,5.520514e-07
RDKitDescriptorsResults/AAK1_AdaBoost,0.084651,0.534722,0.883178,8.165555e-08
RDKitDescriptorsResults/AAK1_Naive Bayes,0.096386,0.621212,0.299065,2.880420e-09
RDKitDescriptorsResults/AAK1_QDA,0.074766,0.487374,0.901869,4.577837e-08
RDKitDescriptorsResults/AAK1_PLS-DA,0.341660,0.752210,0.925234,9.348628e-08
RDKitDescriptorsResults/AAK1_DNN,0.327820,0.785354,0.925234,2.148817e-05
RDKitDescriptorsResults/ABL1-nonphosphorylated_Nearest Neighbors,0.304484,0.651471,0.855140,1.364047e-08
RDKitDescriptorsResults/ABL1-nonphosphorylated_Linear SVM,0.222247,0.580719,0.836449,6.278196e-09
RDKitDescriptorsResults/ABL1-nonphosphorylated_RBF SVM,0.158879,0.500000,0.841121,2.032859e-08
RDKitDescriptorsResults/ABL1-nonphosphorylated_Gaussian Process,0.239142,0.595425,0.841121,2.069095e-06
RDKitDescriptorsResults/ABL1-nonphosphorylated_Decision Tree,0.184240,0.556536,0.775701,1.057764e-08
RDKitDescriptorsResults/ABL1-nonphosphorylated_Random Forest,0.164010,0.509150,0.836449,7.509274e-07
RDKitDescriptorsResults/ABL1-nonphosphorylated_AdaBoost,0.216242,0.577941,0.831776,1.242537e-07
RDKitDescriptorsResults/ABL1-nonphosphorylated_Naive Bayes,0.175322,0.555065,0.331776,3.727123e-09
RDKitDescriptorsResults/ABL1-nonphosphorylated_QDA,0.208356,0.529412,0.850467,3.208450e-08
RDKitDescriptorsResults/ABL1-nonphosphorylated_PLS-DA,0.309777,0.701307,0.803738,1.276695e-07
RDKitDescriptorsResults/ABL1-nonphosphorylated_DNN,0.353678,0.715196,0.831776,2.036933e-05
RDKitDescriptorsResults/ABL1-phosphorylated_Nearest Neighbors,0.163655,0.587113,0.901869,1.371171e-08
RDKitDescriptorsResults/ABL1-phosphorylated_Linear SVM,0.138785,0.525000,0.911215,9.077800e-09
RDKitDescriptorsResults/ABL1-phosphorylated_RBF SVM,0.093458,0.500000,0.906542,1.866222e-08
RDKitDescriptorsResults/ABL1-phosphorylated_Gaussian Process,0.093458,0.500000,0.906542,3.013243e-06
RDKitDescriptorsResults/ABL1-phosphorylated_Decision Tree,0.174766,0.589691,0.906542,1.075013e-08
RDKitDescriptorsResults/ABL1-phosphorylated_Random Forest,0.093458,0.500000,0.906542,7.624198e-07
RDKitDescriptorsResults/ABL1-phosphorylated_AdaBoost,0.163655,0.587113,0.901869,1.235097e-07
RDKitDescriptorsResults/ABL1-phosphorylated_Naive Bayes,0.087650,0.462629,0.228972,3.879442e-09
RDKitDescriptorsResults/ABL1-phosphorylated_QDA,0.093458,0.497423,0.901869,5.410942e-08
RDKitDescriptorsResults/ABL1-phosphorylated_PLS-DA,0.379353,0.694588,0.911215,1.315451e-07
RDKitDescriptorsResults/ABL1-phosphorylated_DNN,0.276624,0.654639,0.911215,2.031425e-05
RDKitDescriptorsResults/ABL2_Nearest Neighbors,0.310511,0.697706,0.925234,1.451902e-08
RDKitDescriptorsResults/ABL2_Linear SVM,0.149615,0.550067,0.915888,6.699791e-09
RDKitDescriptorsResults/ABL2_RBF SVM,0.088785,0.500000,0.911215,2.051899e-08
RDKitDescriptorsResults/ABL2_Gaussian Process,0.088785,0.500000,0.911215,2.004326e-06
RDKitDescriptorsResults/ABL2_Decision Tree,0.146648,0.587314,0.897196,1.517585e-08
RDKitDescriptorsResults/ABL2_Random Forest,0.184702,0.552632,0.920561,7.655557e-07
RDKitDescriptorsResults/ABL2_AdaBoost,0.206497,0.639946,0.906542,1.205038e-07
RDKitDescriptorsResults/ABL2_Naive Bayes,0.080995,0.445344,0.205607,3.661584e-09
RDKitDescriptorsResults/ABL2_QDA,0.088785,0.489744,0.892523,4.373400e-08
RDKitDescriptorsResults/ABL2_PLS-DA,0.432648,0.809177,0.915888,1.335707e-07
RDKitDescriptorsResults/ABL2_DNN,0.545688,0.890148,0.925234,2.082272e-05
RDKitDescriptorsResults/ACVR1B_Nearest Neighbors,0.151313,0.568929,0.939252,1.270144e-08
RDKitDescriptorsResults/ACVR1B_Linear SVM,0.065421,0.500000,0.934579,6.294930e-09
RDKitDescriptorsResults/ACVR1B_RBF SVM,0.132176,0.535714,0.939252,1.916105e-08
RDKitDescriptorsResults/ACVR1B_Gaussian Process,0.065421,0.500000,0.934579,1.457474e-06
RDKitDescriptorsResults/ACVR1B_Decision Tree,0.082049,0.548929,0.901869,1.052540e-08
RDKitDescriptorsResults/ACVR1B_Random Forest,0.065421,0.500000,0.934579,8.945635e-07
RDKitDescriptorsResults/ACVR1B_AdaBoost,0.115688,0.589643,0.915888,1.197318e-07
RDKitDescriptorsResults/ACVR1B_Naive Bayes,0.076764,0.574643,0.453271,4.579572e-09
RDKitDescriptorsResults/ACVR1B_QDA,0.065421,0.495000,0.925234,3.334971e-08
RDKitDescriptorsResults/ACVR1B_PLS-DA,0.242691,0.822857,0.934579,1.336377e-07
RDKitDescriptorsResults/ACVR1B_DNN,0.397539,0.809286,0.920561,2.086073e-05
RDKitDescriptorsResults/ACVR1_Nearest Neighbors,0.072235,0.534241,0.934579,1.392633e-08
RDKitDescriptorsResults/ACVR1_Linear SVM,0.134735,0.541667,0.948598,5.965717e-09
RDKitDescriptorsResults/ACVR1_RBF SVM,0.056075,0.500000,0.943925,2.064283e-08
RDKitDescriptorsResults/ACVR1_Gaussian Process,0.056075,0.500000,0.943925,1.426754e-06
RDKitDescriptorsResults/ACVR1_Decision Tree,0.094348,0.570957,0.929907,1.272287e-08
RDKitDescriptorsResults/ACVR1_Random Forest,0.056075,0.500000,0.943925,7.962944e-07
RDKitDescriptorsResults/ACVR1_AdaBoost,0.222104,0.693482,0.939252,1.187404e-07
RDKitDescriptorsResults/ACVR1_Naive Bayes,0.070269,0.600248,0.467290,5.555870e-09
RDKitDescriptorsResults/ACVR1_QDA,0.056075,0.495050,0.934579,3.074051e-08
