Kin-Method,AVG-PR,ROC-AUC,Acc,Emission(kW)
RDKitECFPMorganFP/AAK1_Nearest Neighbors,0.082593,0.521149,0.911215,3.626182e-08
RDKitECFPMorganFP/AAK1_Linear SVM,0.246714,0.648674,0.934579,1.204748e-08
RDKitECFPMorganFP/AAK1_RBF SVM,0.074766,0.500000,0.925234,3.750656e-08
RDKitECFPMorganFP/AAK1_Gaussian Process,0.074766,0.500000,0.925234,3.601072e-06
RDKitECFPMorganFP/AAK1_Decision Tree,0.096671,0.547348,0.906542,8.831155e-09
RDKitECFPMorganFP/AAK1_Random Forest,0.074766,0.500000,0.925234,5.459268e-07
RDKitECFPMorganFP/AAK1_AdaBoost,0.181075,0.614899,0.925234,7.700232e-08
RDKitECFPMorganFP/AAK1_Naive Bayes,0.146984,0.607323,0.911215,5.441517e-09
RDKitECFPMorganFP/AAK1_QDA,0.091429,0.598485,0.257009,8.321541e-08
RDKitECFPMorganFP/AAK1_PLS-DA,0.387216,0.761364,0.925234,6.231308e-07
RDKitECFPMorganFP/AAK1_DNN,0.179747,0.755682,0.925234,2.127178e-05
RDKitECFPMorganFP/ABL1-nonphosphorylated_Nearest Neighbors,0.285418,0.636765,0.850467,1.487930e-08
RDKitECFPMorganFP/ABL1-nonphosphorylated_Linear SVM,0.302258,0.676144,0.836449,1.245781e-08
RDKitECFPMorganFP/ABL1-nonphosphorylated_RBF SVM,0.208356,0.529412,0.850467,4.609496e-08
RDKitECFPMorganFP/ABL1-nonphosphorylated_Gaussian Process,0.158879,0.500000,0.841121,4.292180e-06
RDKitECFPMorganFP/ABL1-nonphosphorylated_Decision Tree,0.300080,0.621242,0.864486,8.252406e-09
RDKitECFPMorganFP/ABL1-nonphosphorylated_Random Forest,0.158879,0.500000,0.841121,5.328370e-07
RDKitECFPMorganFP/ABL1-nonphosphorylated_AdaBoost,0.315177,0.672549,0.850467,7.404402e-08
RDKitECFPMorganFP/ABL1-nonphosphorylated_Naive Bayes,0.206333,0.592320,0.775701,6.224333e-09
RDKitECFPMorganFP/ABL1-nonphosphorylated_QDA,0.185630,0.585294,0.322430,6.508440e-08
RDKitECFPMorganFP/ABL1-nonphosphorylated_PLS-DA,0.568000,0.827696,0.869159,6.043075e-07
